   1. a                             art.任何一个；某一个；每一；一种；一份
   2. ability                       n.能力；才能，才智
   3. able                          a.能，能够；能干的，有才华的
   4. about                         ad.大约；几乎；到处 prep.关于；在周围
   5. above                         ad.在上面；上述 prep.在…之上；超过
   6. abroad                        ad.在国外，往国外；在外传扬；到外
   7. absence                       n.缺席；缺乏，不存在
   8. absent                        a.缺席的；茫然的 v.使(自己)离开
   9. accent                        n.音调，腔调；重音；重音符号；重要性
  10. accept                        v.接受；同意
  11. accident                      n.意外事件
  12. ache                          v.&n.疼痛
  13. achieve                       v.取得(成绩等)；达到(目的)，取得(胜利)
  14. across                        ad.交叉地 prep.穿过；在…的对面；遍及…
  15. act                           n.行为，举动；(戏剧的)一幕；法案 v.行动
  16. action                        n.行动，行为，活动；作用；战斗，战绩
  17. active                        a.活跃的；主动的；在活动中的；现役的
  18. activity                      n.所做的事情，活动，工作；活动性，活力
  19. add                           v.加，增加；附言
  20. address                       n.地址 v.写收信人的地址；发表演说；称呼
  21. advantage                     n.优势，益处，利益
  22. advertisement                 n.广告
  23. advice                        n.劝告，忠告，建议
  24. advise                        v.劝告，忠告，建议；通知
  25. afford                        v.有(能找到)足够的时间(金钱)去(做某事)
  26. afraid                        a.害怕，畏惧
  27. after                         prep.在…之后；追赶；依照 ad.之后，后来
  28. afternoon                     n.下午
  29. again                         ad.再(一次)，又(一次)；重新
  30. against                       prep.反对；逆着；预防；与…对比；靠着
  31. age                           n.年龄；老年；时代；很久 v.变老，长大
  32. ago                           ad.…以前
  33. agree                         v.赞同，同意；与…相符；(性情等)投合
  34. agreement                     n.同意，一致；协定，协议
  35. ahead                         ad.在前面，在前头，向前
  36. air                           n.空气；空中；气氛；态度 v.发表(意见等)
  37. airline                       n.航线；航空公司
  38. airplane                      n.飞机
  39. airport                       n.飞机场
  40. alive                         a.活着的，在世的；有活力的；充满着…的
  41. all                           a.全部的；所有的 pron.全体 ad.都，完全
  42. allow                         v.允许，许可；让…得到；考虑到；承认
  43. almost                        ad.几乎，将近，差一点就…
  44. alone                         a.单独的，孤独的；只有 ad.独自；只有
  45. along                         prep.沿着 ad.向前
  46. aloud                         ad.出声地；高声地
  47. already                       ad.已经
  48. also                          ad.也
  49. although                      conj.虽然
  50. always                        ad.总是，老是；永远
  51. amazing                       a.令(人)惊愕的，使(人)惊叹的
  52. America                       n.美洲；美国
  53. American                      a.美国的，美洲的 n.美国人，美洲人
  54. among                         prep.在…中间；被…所围绕；是…之一
  55. amount                        n.总数；数量，数额 v.合计；相当于，等于
  56. ancient                       a.古代的，古老的，古式的
  57. and                           conj.和，与，以及；加上；那么；一再
  58. angry                         a.愤怒的，发怒的；狂暴的
  59. animal                        n.动物；野兽；兽性；粗暴残暴的人
  60. another                       pron.又一个；另一个 ad.另一；又一，再
  61. answer                        v.回答；对…负责；适应 n.回答；答案
  62. ant                           n.蚂蚁
  63. any                           a.一些；任何的 pron.一些；任何 ad.一些
  64. anybody                       pron.某人，无论谁；任何人
  65. anyone                        pron.某人，谁；任何人
  66. anything                      pron.某事，什么事，任何东西
  67. anyway                        ad.不管怎样，无论如何；不论用何种方法
  68. anywhere                      ad.任何地方，无论何处
  69. appear                        v.出现，呈现；到达；似乎，显得，好像
  70. apple                         n.苹果
  71. April                         n.四月
  72. area                          n.面积；地区；范围，领域
  73. arm                           ①n.武器 v.武装 ②n.手臂；手臂状的东西
  74. army                          n.军队；陆军；军；大军，一大批
  75. around                        ad.到处；在附近；向四周 prep.在…周围
  76. arrive                        v.到达，来到；作出(决定)，得出(结论)等
  77. art                           n.艺术；技艺，技术；<pl>人文学科
  78. article                       n.文章，论文；物价，物品；条款，条目
  79. artist                        n.艺术家；擅长做某事之人
  80. as                            conj.因为；按照 ad.像…那样 prep.当作…
  81. Asia                          n.亚洲
  82. Asian                         n.亚洲人 a.亚洲的，亚洲人的
  83. ask                           v.问，询问；要求，请求；邀请
  84. asleep                        a.睡着的；麻木的，麻痹的
  85. at                            prep.(表示地点或时间等)在…；向；按照
  86. Atlantic                      n.大西洋 a.大西洋的
  87. attend                        v.出席；照料，侍候；注意听
  88. attention                     n.注意，专心；立正之姿势
  89. attract                       v.引起…的注意(兴趣)；吸引
  90. August                        n.八月
  91. aunt                          n.姑母，姨母；舅母，伯母
  92. Australia                     n.澳洲；澳大利亚
  93. Australian                    n.澳大利亚人 a.澳大利亚人的，澳大利亚的
  94. autumn                        n.秋天
  95. avoid                         v.避免，回避，躲开
  96. awake                         a.醒过来；醒悟，觉察，明白
